,code,precipitation_level,Land use,component_name,chcarbon,TopN2O,total_co2_e,new_ghg,new_ghg_intensity,total_ghg_w_energy,soilType,LU_ID,changeInCarbon
0,13,0.0,,0,4.69,2.0,-13761.005544,0.0,0.0,-13761.005544,0,13,4.69
0,8,624.0,Grass hay,Tama,0.2884214837534909,2.1240549816471423,-62.959827342334734,0.0,,-62.959827342334734,Q,8,0.2884214837534909
1,8,817.0,Grass hay,Tama,0.3319161120264159,1.4304219847175983,-547.1409711674193,0.0,,-547.1409711674193,Q,8,0.3319161120264159
2,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2710.59964990547,0.0133214710821201,3708.8553435225967,A,1,-0.06808486730468785
3,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,823.492736334042,inf,1821.7484299511689,A,1,-0.06808486730468785
4,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2602.764969129961,0.0135667513642512,3601.020662747088,A,1,-0.06808486730468785
5,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2858.872335971797,0.0130266474317439,3857.1280295889237,A,1,-0.06808486730468785
6,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2333.1782671911847,0.0143332522459109,3331.4339608083114,A,1,-0.06808486730468785
7,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2751.0376551962863,0.0132365663690747,3749.293348813413,A,1,-0.06808486730468785
8,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2521.888958548327,0.0137711515993604,3520.144652165454,A,1,-0.06808486730468785
9,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,823.492736334042,inf,1821.7484299511689,A,1,-0.06808486730468785
10,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2697.120314808532,0.0133505870868335,3695.3760084256587,A,1,-0.06808486730468785
11,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,823.492736334042,inf,1821.7484299511689,A,1,-0.06808486730468785
12,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,823.492736334042,inf,1821.7484299511689,A,1,-0.06808486730468785
13,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2521.888958548327,0.0137711515993604,3520.144652165454,A,1,-0.06808486730468785
14,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2589.285634033022,0.0135995178141542,3587.5413276501486,A,1,-0.06808486730468785
15,1,772.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2562.326963839145,0.0136665747348859,3560.5826574562716,A,1,-0.06808486730468785
16,9,624.0,Prairie,Clarion,1.07,,-3922.62,0.0,,-3922.62,A,9,1.07
17,9,817.0,Prairie,Clarion,1.07,0.4258798303943758,-3922.62,0.0,,-3922.62,A,9,1.07
18,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,2710.59964990547,0.0133214710821201,3460.048361443334,A,1,-0.08639620700496849
19,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,823.492736334042,inf,1572.9414478719063,A,1,-0.08639620700496849
20,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,2602.764969129961,0.0135667513642512,3352.2136806678254,A,1,-0.08639620700496849
21,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,2858.872335971797,0.0130266474317439,3608.321047509661,A,1,-0.08639620700496849
22,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,2333.1782671911847,0.0143332522459109,3082.626978729049,A,1,-0.08639620700496849
23,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,2751.0376551962863,0.0132365663690747,3500.4863667341506,A,1,-0.08639620700496849
24,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,2521.888958548327,0.0137711515993604,3271.3376700861913,A,1,-0.08639620700496849
25,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,823.492736334042,inf,1572.9414478719063,A,1,-0.08639620700496849
26,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,2697.120314808532,0.0133505870868335,3446.569026346396,A,1,-0.08639620700496849
27,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,823.492736334042,inf,1572.9414478719063,A,1,-0.08639620700496849
28,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,823.492736334042,inf,1572.9414478719063,A,1,-0.08639620700496849
29,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,2521.888958548327,0.0137711515993604,3271.3376700861913,A,1,-0.08639620700496849
30,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,2589.285634033022,0.0135995178141542,3338.734345570886,A,1,-0.08639620700496849
31,1,817.0,Conventional corn,Clarion,-0.08639620700496849,0.9243037962774312,749.4487115378643,2562.326963839145,0.0136665747348859,3311.775675377009,A,1,-0.08639620700496849
32,8,716.0,Grass hay,Tama,0.24421245848787407,2.082451520711932,79.63346621691028,0.0,,79.63346621691028,Q,8,0.24421245848787407
33,9,716.0,Prairie,Clarion,1.07,0.4198406302914301,-3922.62,0.0,,-3922.62,A,9,1.07
34,8,1146.0,Grass hay,Tama,0.08749074369610144,1.5793870327807986,418.6616081026852,0.0,,418.6616081026852,Q,8,0.08749074369610144
35,8,926.0,Grass hay,Tama,0.23043641465522824,1.505094129208642,-140.15803878400743,0.0,,-140.15803878400743,Q,8,0.23043641465522824
36,8,872.0,Grass hay,Tama,0.29302848278263927,1.480845762053544,-380.9726276096926,0.0,,-380.9726276096926,Q,8,0.29302848278263927
37,8,1400.0,Grass hay,Tama,0.042895460284760246,1.6595421593670898,619.6731808410469,0.0,,619.6731808410469,Q,8,0.042895460284760246
38,8,772.0,Grass hay,Tama,0.346293646678712,1.7466355345857951,-451.8111101235414,0.0,,-451.8111101235414,Q,8,0.346293646678712
39,9,772.0,Prairie,Clarion,1.07,0.4116007870793863,-3922.62,0.0,,-3922.62,A,9,1.07
40,9,624.0,Prairie,Okoboji,1.07,1.6091087626603418,-3922.62,0.0,,-3922.62,O,9,1.07
41,9,872.0,Prairie,Clarion,1.07,0.4198406302914301,-3922.62,0.0,,-3922.62,A,9,1.07
42,9,926.0,Prairie,Clarion,1.07,,-3922.62,0.0,,-3922.62,A,9,1.07
43,9,716.0,Prairie,Okoboji,1.07,,-3922.62,0.0,,-3922.62,O,9,1.07
44,9,772.0,Prairie,Okoboji,1.07,1.6471022449492778,-3922.62,0.0,,-3922.62,O,9,1.07
45,9,1400.0,Prairie,Clarion,1.07,,-3922.62,0.0,,-3922.62,A,9,1.07
46,9,1146.0,Prairie,Clarion,1.07,0.914062685478426,-3922.62,0.0,,-3922.62,A,9,1.07
47,9,1146.0,Prairie,Okoboji,1.07,2.0604946365063666,-3922.62,0.0,,-3922.62,O,9,1.07
48,9,926.0,Prairie,Okoboji,1.07,1.6959832175538423,-3922.62,0.0,,-3922.62,O,9,1.07
49,9,817.0,Prairie,Okoboji,1.07,1.6471022449492778,-3922.62,0.0,,-3922.62,O,9,1.07
50,1,872.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2710.59964990547,0.0133214710821201,3708.8553435225967,A,1,-0.06808486730468785
51,1,872.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,823.492736334042,inf,1821.7484299511689,A,1,-0.06808486730468785
52,1,872.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2602.764969129961,0.0135667513642512,3601.020662747088,A,1,-0.06808486730468785
53,1,872.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2858.872335971797,0.0130266474317439,3857.1280295889237,A,1,-0.06808486730468785
54,1,872.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2333.1782671911847,0.0143332522459109,3331.4339608083114,A,1,-0.06808486730468785
55,1,872.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2751.0376551962863,0.0132365663690747,3749.293348813413,A,1,-0.06808486730468785
56,1,872.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2521.888958548327,0.0137711515993604,3520.144652165454,A,1,-0.06808486730468785
57,1,872.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,823.492736334042,inf,1821.7484299511689,A,1,-0.06808486730468785
58,1,872.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2697.120314808532,0.0133505870868335,3695.3760084256587,A,1,-0.06808486730468785
59,1,872.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,823.492736334042,inf,1821.7484299511689,A,1,-0.06808486730468785
60,1,872.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,823.492736334042,inf,1821.7484299511689,A,1,-0.06808486730468785
61,1,872.0,Conventional corn,Clarion,-0.06808486730468785,1.599153640604542,998.2556936171268,2521.888958548327,0.0137711515993604,3520.144652165454,A,1,-0.06808486730468785
